timestr,time,open,close,low,high,volumefrom,volumeto
2022-01-27 03:00:00,1643252400,32089.99,31875.66,31675.95,32282.86,296.75,9482919.03
2022-01-27 02:00:00,1643248800,31958.64,32089.99,31833.76,32096.54,188.76,6030538.36
2022-01-27 01:00:00,1643245200,32979.75,31958.64,31951.73,32981.19,418.59,13565937.2
2022-01-27 00:00:00,1643241600,32778.27,32979.75,32715.73,33032.55,250.82,8259419.21
2022-01-26 23:00:00,1643238000,32526.45,32778.27,32480.74,32857.16,249.96,8181553.89
2022-01-26 22:00:00,1643234400,32367.64,32526.45,32294.38,32582.38,337.07,10924584.29
2022-01-26 21:00:00,1643230800,32982.74,32367.64,32357.9,33095.77,582.47,19039712.5
2022-01-26 20:00:00,1643227200,33416.63,32982.74,32686.64,33420.3,1026.43,33851373.62
2022-01-26 19:00:00,1643223600,33667.06,33416.63,33251.91,34506.68,2287.9,77462381.29
2022-01-26 18:00:00,1643220000,33759.04,33667.06,33326.46,33904.89,666.51,22360428.73
2022-01-26 17:00:00,1643216400,33977.12,33759.04,33741.93,34048.16,342.13,11599925.86
2022-01-26 16:00:00,1643212800,33728.41,33977.12,33663.24,33983.07,378.76,12815896.4
2022-01-26 15:00:00,1643209200,33940.35,33728.41,33584.53,34036.6,518.03,17489119.99
2022-01-26 14:00:00,1643205600,33910.95,33940.35,33790.76,34154.25,748.09,25429987.29
2022-01-26 13:00:00,1643202000,33538.23,33910.95,33440.74,33965.17,756.09,25454448.31
2022-01-26 12:00:00,1643198400,33810.38,33538.23,33529.93,33823.38,657.03,22089872.18
2022-01-26 11:00:00,1643194800,33690.44,33810.38,33552.11,33918.67,792.58,26702224.02
2022-01-26 10:00:00,1643191200,33427.82,33690.44,33342.75,33845.45,609.55,20451028.57
2022-01-26 09:00:00,1643187600,33355.95,33427.82,33351.18,33695.7,582.77,19535733.15
2022-01-26 08:00:00,1643184000,33125.85,33355.95,33122.32,33397.83,368.91,12282587.27
2022-01-26 07:00:00,1643180400,33071.58,33125.85,32940.8,33143.77,491.81,16250243.78
2022-01-26 06:00:00,1643176800,33320.21,33071.58,33003.39,33461.21,304.08,10095792.46
2022-01-26 05:00:00,1643173200,33466.57,33320.21,33315.57,33609.44,342.91,11463397.07
2022-01-26 04:00:00,1643169600,33124.4,33466.57,33009.12,33494.93,538.25,17879203.8
2022-01-26 03:00:00,1643166000,32613.22,33124.4,32600.76,33197.96,542.37,17869645.9
2022-01-26 02:00:00,1643162400,32651.82,32613.22,32587.53,32780.21,294.43,9621873.11
2022-01-26 01:00:00,1643158800,32442.36,32651.82,32391.46,32687.3,208.02,6759275.94
2022-01-26 00:00:00,1643155200,32737.12,32442.36,32396.71,32760.29,144.58,4714218.84
2022-01-25 23:00:00,1643151600,32567.66,32737.12,32528.94,32802.88,164.63,5379357.54
2022-01-25 22:00:00,1643148000,32385.67,32567.66,32291.8,32569.27,205.62,6667666.05
2022-01-25 21:00:00,1643144400,32651.75,32385.67,32278.6,32672.63,262.42,8508083.46
2022-01-25 20:00:00,1643140800,32868.48,32651.75,32457.49,32868.48,428.52,14002750.57
2022-01-25 19:00:00,1643137200,33102.9,32868.48,32745.04,33175.09,418.27,13789760.51
